"Time"	"0 RT t"
9.522600	0.437500
31.866900	-0.100000
34.730800	0.844890
40.169900	-0.100000
44.557000	-0.100000
53.359000	-0.100000
56.140500	-0.100000
58.918100	-0.100000
60.706700	-0.100000
62.993000	0.601680
105.045000	1.430460
110.764000	0.385060
117.992000	0.083630
122.123800	0.275790
127.710200	-0.100000
140.470300	0.324650
156.673400	-0.100000
158.404600	2.026450
162.513200	-0.100000
164.217000	-0.100000
187.278400	1.602270
195.631500	0.368440
199.123000	0.041500
204.331500	0.419150
214.281500	-0.100000
220.288900	0.086550
223.302400	-0.100000
235.309400	-0.100000
245.906700	1.073190
253.230600	-0.100000
260.974500	1.650230
278.879000	-0.100000
285.391300	0.206690
294.171400	0.388590
299.757100	1.164700
306.605700	0.523210
324.177300	-0.100000
326.013200	0.869530
333.704300	-0.100000
348.841100	-0.100000
357.031000	-0.100000
360.653200	1.475300
390.250700	-0.100000
394.846600	0.663540
402.417500	1.867100
408.071200	1.933030
413.263900	0.494120
421.299300	0.174470
426.592100	-0.100000
428.994800	-0.100000
435.644500	-0.100000
442.581500	-0.100000
448.120200	-0.100000
451.558300	-0.100000
454.762700	2.182200
456.470300	0.474600
464.709500	0.857990
470.307900	-0.100000
473.382800	-0.100000
482.038200	-0.100000
493.475900	-0.100000
496.637500	0.894280
509.152500	1.229320
516.683600	-0.100000
519.724300	-0.100000
521.691200	-0.100000
524.645700	-0.100000
528.197600	-0.100000
539.022600	-0.100000
543.009300	1.088540
548.487900	-0.100000
554.221700	-0.100000
558.426500	-0.100000
561.494900	1.936470
570.175600	-0.100000
576.647600	2.041550
591.652000	0.458440
595.131600	0.328010
603.218100	1.921060
616.706700	0.038250
621.131900	0.326650
644.454900	-0.100000
649.020100	-0.100000
651.271600	-0.100000
657.924800	0.406190
668.233500	0.532450
671.995400	0.489240
683.721700	0.700490
697.558800	0.465820
721.265400	0.007930
724.165300	0.480500
740.541600	0.354980
744.000800	1.135020
748.599800	0.297040
752.409400	0.024750
772.036400	1.512850
780.974600	0.899360
794.080600	0.233290
797.710200	0.297600
801.124800	0.364270
804.177200	0.478530
808.304700	0.278420
814.974000	0.273160
826.996600	-0.100000
836.773500	-0.100000
843.042900	0.709510
866.415300	0.663380
888.414600	-0.100000
895.865900	0.441180
902.283300	1.160770
914.122400	0.588460
924.583400	-0.100000
939.622800	0.549210
956.736500	0.217550
962.835400	0.343640
972.314600	0.530510
987.930200	0.446500
996.644500	0.298170
1004.807200	0.116490
1010.578300	0.051520
1017.937700	0.439180
1029.396300	0.423730
1038.327700	0.097530
1044.240100	0.403950
1080.798800	0.280340
1105.209300	0.002770
1108.263600	0.590390
1126.493300	0.348680
1134.814100	0.488980
1154.181300	1.836930
1160.270200	0.571490
1166.956200	0.417410
1184.988500	-0.100000
1189.573000	1.540490
1194.597500	0.063790
1198.962800	1.811180
1206.927000	0.143720
1225.424800	0.277520
1235.425000	1.224140
1239.285800	0.370890
1250.172500	-0.100000
1255.719300	-0.100000
1259.072000	0.725010
1275.379600	-0.100000
1277.600600	-0.100000
1282.056100	1.532340
1289.094700	-0.100000
1306.743800	0.296180
1321.001600	0.020840
1323.457100	-0.100000
1327.983600	0.270570
1340.669000	0.259320
1343.716300	0.523070
1347.921600	0.113040
1352.858900	0.452180
1361.742500	0.141130
1382.148000	0.294120
1396.508400	0.268080
1403.152900	0.497610
1421.174200	0.446600
1432.468100	0.053030
1440.561600	0.814290
1462.151400	0.870960
1466.024600	0.062740
1468.210900	0.282260
1473.220300	0.474440
1487.116900	0.407010
1516.395000	-0.100000
1520.096600	-0.100000
1530.163600	0.311060
1536.744000	0.082580
1561.065800	0.361110
1565.378000	0.322770
1570.473000	0.361140
1588.311600	0.922670
1595.367200	0.268540
1598.825100	0.446090
1602.293900	0.441530
1619.141700	0.178600
1623.438400	0.342790
1633.907500	0.353020
1655.067800	0.340570
1670.723600	-0.100000
1679.772200	0.235160
1688.213800	0.302560
1697.392500	0.323740
1706.935700	0.365290
1714.170000	1.231280
1724.203000	-0.100000
1727.422500	0.327670
1730.692800	0.250440
1733.989100	0.360690
1753.611800	0.244080
1767.083200	0.011370
1770.001000	0.327940
1780.566900	0.310250
1784.809700	0.294750
1788.734500	0.323660
1797.427600	0.258840
1818.900800	0.440240
1842.322100	0.474040
1876.903200	0.558460
1884.191900	-0.100000
1891.017100	0.486560
1906.648200	0.368330
1913.779200	1.753030
1922.549200	-0.100000
1925.395300	1.576770
1937.380300	-0.100000
1946.373400	0.176810
1963.034300	0.317500
1968.666500	0.109370
1977.596600	-0.100000
1981.220200	0.001200
1984.476200	0.426220
2000.822300	-0.100000
2004.886700	1.987630
2011.238700	0.639170
2017.075900	1.736470
2023.202400	-0.100000
2025.765400	1.369660
2034.940900	-0.100000
2044.871400	0.271570
2047.934200	1.907630
2056.863100	0.520340
2062.740100	0.331350
2078.887200	-0.100000
2082.218500	0.051370
2085.433600	-0.100000
2109.407200	-0.100000
2112.515700	-0.100000
2120.813500	0.449470
2128.704000	0.441340
2133.656400	0.483580
2138.124900	0.362040
2147.683400	0.337160
2154.732300	0.596450
2160.358600	0.490880
2173.984900	0.266920
2181.852600	-0.100000
2186.585500	-0.100000
2192.006100	0.282240
2195.241600	0.666490
2210.013600	-0.100000
2241.842800	0.352680
2249.681800	0.395230
2263.286100	-0.100000
2269.209100	1.052930
2276.291400	0.316540
2279.545300	0.354790
2286.310800	0.320450
2290.983800	0.317640
2294.803900	0.346700
2297.855000	0.240060
2300.779200	0.334200
2311.254600	0.220970
2317.598200	0.249080
2329.596200	0.103880
2332.088600	0.287600
2345.854100	0.304080
2348.582100	0.546690
2358.179500	0.300030
2362.833000	0.284880
2378.226700	0.387940
2387.101000	0.320700
2400.666300	0.385630
2408.173800	0.356260
2418.576400	0.574230
2436.688000	2.144870
2438.529800	0.303070
2442.481300	0.304560
2455.475500	-0.100000
2469.931500	0.251740
2477.876900	0.337140
2487.144600	0.037680
2502.563400	-0.100000
2504.737300	-0.100000
2530.654300	-0.100000
2533.646500	0.165590
2538.380400	0.439440
2541.074400	0.325220
2551.897400	1.814100
2564.094000	0.765020
2568.516000	0.500300
2579.766200	0.390380
2584.851700	0.251340
2600.186800	0.073380
2616.517400	0.662010
2619.490200	-0.100000
2621.789400	0.422730
2630.072200	0.535330
2633.178200	0.044350
2636.402400	0.275920
2643.474100	0.576570
2648.730600	-0.100000
2650.779800	1.756890
2656.938400	1.910910
2658.767600	0.081710
2674.051500	1.704800
2682.015900	0.608490
2688.766800	-0.100000
2691.051100	-0.100000
2692.821300	-0.100000
