"Time"	"0 RT t"
5.762200	0.522040
10.004600	0.511490
21.655000	0.480980
38.090100	0.566220
43.842200	0.452970
47.908300	0.466650
55.527600	0.463180
62.012200	0.494910
77.679300	0.447620
81.076500	0.500590
85.235900	0.431320
90.447600	0.436340
97.359800	0.401990
100.690200	0.382490
106.641400	0.404090
109.600000	0.378810
122.088300	0.426280
126.019300	0.424400
129.995900	0.370250
143.289300	0.406810
153.602100	0.450480
168.897700	0.393510
171.860900	0.295880
177.992500	0.399940
180.682700	0.401460
185.326600	0.589820
192.096800	0.299300
196.267300	0.384520
199.497200	0.392450
206.040900	0.282600
209.308500	0.423520
213.823200	0.279440
217.057500	0.364020
220.374700	0.261450
232.805200	0.397300
236.193500	0.406830
239.243100	0.365160
244.945400	-0.100000
246.831500	0.354780
273.792100	0.362850
276.132300	0.488100
280.491400	0.313740
286.830800	0.396500
293.238800	0.378520
297.749200	0.418630
301.128200	0.410430
304.535400	0.366740
307.131400	0.407740
310.554200	0.773990
315.105900	0.317220
317.893200	0.395140
320.522500	0.277540
324.178300	-0.100000
329.988200	0.261060
339.799000	0.000400
346.027100	0.348300
353.458800	0.326810
357.156400	0.250290
364.604400	0.291500
367.072300	0.326600
369.660600	0.336810
379.639600	0.275750
389.535100	0.258150
407.589200	-0.100000
411.940500	0.357100
415.621700	0.341070
423.888700	0.279400
429.146800	0.329040
432.456200	0.290980
448.847800	0.237420
477.715600	0.293430
483.568200	0.276540
493.160300	0.287180
497.888500	0.386300
506.929400	0.214880
509.645600	0.222400
532.188400	0.213560
537.680400	0.301660
543.774000	0.237970
554.150800	0.263300
566.906800	0.224480
572.285800	0.299820
579.804000	0.271970
583.330400	0.402670
591.125800	0.301380
593.854400	0.248260
597.402700	0.353890
618.188900	0.281310
621.393100	0.350520
623.838600	0.367000
631.644200	0.231910
635.121300	0.230850
645.330700	0.245510
660.252500	0.243110
662.666700	0.244190
676.125300	0.309860
690.214700	0.312700
701.084000	0.395590
706.447500	0.318950
713.143000	0.254860
728.167000	0.324760
731.873900	0.404850
735.607000	0.292470
752.098900	0.224270
756.250000	0.361020
769.211800	0.303830
778.992000	0.266400
798.355100	0.203960
801.251200	0.352330
809.046300	0.371990
811.947400	0.268030
814.634300	0.348890
824.724500	0.178570
831.358700	0.202360
834.855900	0.181860
847.568900	0.403360
850.406900	0.258220
852.817100	0.264620
857.392800	-0.100000
867.879800	0.326360
877.454600	-0.100000
879.919500	0.529310
888.920200	0.425950
892.544700	0.416080
899.196300	0.039520
905.046200	0.356720
907.988100	0.239050
910.969600	0.461990
915.425300	-0.100000
922.740900	1.843860
924.508200	0.076560
927.382700	0.315510
931.733300	1.583660
936.722500	0.159650
939.784800	-0.100000
945.668400	0.888510
951.312800	0.480720
955.786100	1.601960
