"Time"	"0 RT t"
4.981100	0.380790
9.897300	0.412040
13.733500	0.412790
23.319000	0.361760
28.002300	0.407270
36.427100	0.402800
41.795300	0.351750
49.404500	0.369980
59.025200	0.367630
66.454000	0.406380
70.553400	0.395780
73.879300	0.384740
77.693400	0.383350
84.443300	0.374740
87.493500	0.422740
95.214000	0.351900
98.904100	0.344250
109.185000	0.358340
117.149900	0.355020
120.280500	0.410680
124.161100	0.391230
129.393900	0.357300
133.183200	0.353470
138.558800	0.342170
142.814700	0.372460
153.625300	0.313950
159.933200	0.333810
164.586000	0.349650
167.638000	0.428800
170.934900	0.354150
176.451700	0.330050
186.453700	0.323710
194.028800	0.007780
198.113800	0.379110
201.199200	0.340050
215.727800	0.430460
228.026800	0.329960
233.062500	0.364970
236.279400	0.416950
250.723700	0.456110
261.027800	0.391120
264.679700	0.398260
271.457200	0.389990
276.634100	0.387700
287.834100	0.459010
292.697800	0.337680
296.274300	0.326550
299.718100	0.313070
304.359800	0.307050
312.911200	0.322430
316.821800	0.315450
320.260600	0.299730
325.663300	0.277100
330.076000	0.325270
336.264800	0.313400
343.233200	0.329560
347.111200	0.329110
353.076000	0.288010
357.791800	0.350040
363.777500	0.278860
373.402400	0.335210
380.178200	0.491120
383.141700	0.327700
388.468600	0.292500
391.919000	0.294250
394.485200	0.288750
401.209500	0.281820
408.999000	0.299270
420.480700	0.308350
424.319000	0.275010
429.379200	0.260680
444.417500	0.298800
458.558400	0.283930
461.325500	0.297330
464.316900	0.271050
477.529200	0.289300
500.046000	0.294840
502.792300	0.323760
510.619700	0.310010
513.890300	0.317550
517.573500	0.267030
524.415400	0.298840
539.483200	-0.100000
545.075600	0.320250
548.121500	0.296080
553.145000	0.294520
560.123900	-0.100000
564.681700	-0.100000
566.767600	-0.100000
568.731200	-0.100000
570.812300	-0.100000
579.002600	0.013930
584.867000	-0.100000
587.698200	-0.100000
597.520300	-0.100000
600.421400	-0.100000
605.803200	-0.100000
608.658000	0.435690
621.435900	0.375750
624.997700	0.294830
629.898800	0.274890
640.338700	0.301940
646.704500	0.311980
649.805800	0.320700
654.484600	0.387000
663.927700	0.330870
669.513000	0.318520
675.260800	0.290170
677.868800	0.313410
681.250800	0.317500
684.551700	0.278220
705.329300	0.267130
709.664200	0.288120
713.441100	0.263510
717.110900	0.312870
724.924600	0.320600
738.019000	-0.100000
754.391800	0.556280
759.285200	-0.100000
762.367000	0.046610
771.479900	0.885490
774.942000	0.625440
778.889700	-0.100000
787.230400	-0.100000
791.444400	-0.100000
799.994200	-0.100000
804.536000	-0.100000
807.909600	-0.100000
820.356700	0.582240
827.687600	0.387170
834.647300	0.443260
843.066400	0.283330
851.433600	0.305680
857.887800	-0.100000
861.398100	0.339090
869.461000	0.375710
874.375300	0.337210
877.835400	0.324170
882.494500	0.456280
887.036700	0.347100
896.025500	0.419710
909.993500	-0.100000
912.993700	-0.100000
916.969800	-0.100000
933.087700	0.514150
945.459400	-0.100000
953.198600	-0.100000
955.000900	-0.100000
956.840500	-0.100000
961.865300	-0.100000
964.150900	-0.100000
966.415200	-0.100000
970.143300	-0.100000
974.610100	-0.100000
976.626300	-0.100000
980.751400	-0.100000
982.612500	0.983610
986.851000	0.438820
995.759700	0.362720
1002.669700	0.309880
1007.584700	0.353280
1018.426400	0.335640
1022.846200	0.301700
1025.835100	0.373150
1032.475900	0.285350
1042.487400	0.434330
1067.981100	0.475850
1070.888600	-0.100000
1074.220100	0.580020
1077.093200	-0.100000
1079.168700	0.524150
1083.791400	0.350710
1092.835100	-0.100000
1095.770400	-0.100000
1098.299000	-0.100000
1100.564900	-0.100000
1105.931800	-0.100000
1107.724000	-0.100000
1112.866600	-0.100000
1114.700600	-0.100000
1117.590400	-0.100000
1125.311200	-0.100000
1131.784700	-0.100000
1136.800500	-0.100000
1145.266600	-0.100000
1150.321500	-0.100000
1164.811500	-0.100000
1169.384000	-0.100000
1171.730800	-0.100000
1174.992800	-0.100000
1181.891500	-0.100000
1191.128200	-0.100000
1195.376200	-0.100000
1199.668100	-0.100000
1201.690500	-0.100000
1204.029300	1.839600
1209.771500	1.335810
1227.734300	-0.100000
1239.679400	0.360030
1247.488600	0.277610
1250.757900	-0.100000
1259.053800	0.337330
1263.292700	0.301900
1270.039300	0.336700
1273.862000	0.289620
1276.633300	0.333740
1282.275000	0.358940
1288.285500	0.418610
1301.515200	-0.100000
1309.838500	-0.100000
1319.595500	-0.100000
1323.204000	-0.100000
1328.089000	-0.100000
1329.973200	-0.100000
1338.606900	-0.100000
1342.634400	-0.100000
1346.837100	-0.100000
1351.693900	-0.100000
1354.152400	-0.100000
1357.237800	-0.100000
1363.938800	-0.100000
1367.537400	-0.100000
1372.946500	-0.100000
1375.426300	0.104830
