"Time"	"0 RT t"
7.465600	0.393180
29.097600	0.354370
41.447200	0.301890
47.682800	0.350930
55.247700	0.374030
71.695000	2.162720
95.737500	1.377260
107.612700	0.342280
121.710900	0.230360
124.465400	0.036620
141.079400	-0.100000
173.649800	0.435490
199.252900	-0.100000
215.266700	-0.100000
226.733600	1.904200
231.556600	-0.100000
237.217600	1.569760
246.359800	-0.100000
249.677100	-0.100000
252.072600	0.919070
270.665100	0.154780
287.412100	0.906970
297.681500	0.187640
301.981700	0.022230
306.318300	0.229380
312.783700	0.565550
316.131700	0.489990
319.437000	0.267130
332.980600	0.061260
340.655000	0.536330
350.097000	0.360700
361.083400	0.231390
369.702000	0.129100
375.749500	2.104480
379.809900	0.848240
388.691800	2.028520
397.707700	0.360360
403.163600	1.660040
421.409100	0.260780
426.530700	0.258960
453.286500	0.236660
474.629600	0.382450
483.908600	0.231880
494.481100	0.270070
505.126400	0.334350
516.438800	0.202890
532.348000	0.352880
539.573400	0.116440
549.950600	0.202560
553.415300	0.213410
564.899600	0.248920
571.734100	0.218100
584.011600	0.192050
607.853300	0.225200
619.628800	0.218980
622.460200	0.501880
640.105600	0.211810
645.090100	0.026670
650.109900	-0.100000
657.570700	-0.100000
660.862500	1.090670
676.125100	0.388490
681.319700	-0.100000
692.823300	0.332740
709.844700	0.375660
719.982300	0.184530
731.199800	0.947440
739.834700	0.262870
757.911100	-0.100000
765.067100	-0.100000
766.864700	-0.100000
778.557700	1.819680
787.330200	-0.100000
793.614800	-0.100000
796.647300	-0.100000
799.352900	-0.100000
808.278600	-0.100000
810.507200	-0.100000
812.338000	-0.100000
822.700500	0.338740
828.474400	0.445310
841.784400	0.014900
847.919100	0.358430
851.096300	-0.100000
862.486700	0.327220
871.065500	0.190930
873.661000	0.262460
879.360300	0.285910
897.841700	-0.100000
899.596600	-0.100000
