"Time"	"0 RT t"
10.363000	0.245930
33.454300	0.299980
36.628900	0.267070
58.518900	0.203320
66.053800	0.169100
85.159200	0.129370
104.733000	0.202460
123.372700	0.278450
134.647400	0.170670
194.098900	2.028760
195.896500	0.231160
214.472900	0.223760
235.047100	0.245340
253.636400	0.221900
262.335900	0.286370
300.515100	0.257090
311.758400	0.196730
324.707200	0.248550
360.602600	0.195160
373.423200	0.240310
380.277000	0.295400
391.084600	0.325460
397.692700	0.172810
400.675200	0.354520
406.981300	0.263120
410.129400	0.337310
415.476700	0.221200
423.516300	-0.100000
433.775700	-0.100000
439.031300	-0.100000
445.531500	0.410690
462.712000	0.251470
485.785600	0.359190
510.490900	0.200810
517.681100	0.144300
541.692800	0.079930
555.322700	0.149000
561.832100	0.169630
612.162000	0.227850
660.131900	0.319430
691.934300	0.241070
695.753500	0.069250
708.550700	0.270340
752.059400	0.268760
774.506500	0.218400
790.371200	0.157140
844.474900	0.177900
860.897300	0.190690
867.399000	0.098120
918.899400	0.107860
946.412400	0.149810
970.968600	0.134500
973.485200	0.189310
975.920800	0.198550
998.329600	0.031270
1032.351600	0.100840
1050.008300	0.144160
1073.120600	0.187850
1085.651300	0.176130
1106.530700	0.232620
1110.485500	0.204490
1148.375100	0.205800
1160.026000	0.273930
1167.909100	0.174480
1177.553200	0.200590
1184.519700	0.211250
1216.043300	0.187430
1246.095200	0.230510
1295.247200	0.162950
1314.664500	0.010590
1319.387300	0.247790
1334.254400	0.189970
1355.608200	0.218160
1404.360400	0.206370
1419.416700	0.266450
1463.710600	0.161760
1471.994600	0.169330
1500.870200	0.203010
1530.676700	0.165710
1546.654300	0.025660
1549.100700	0.136950
1555.276600	0.214780
1566.145600	0.073210
1603.233800	0.211960
1624.244100	0.308650
1635.690300	0.196400
1650.847700	0.174740
1720.883100	0.098500
1780.297800	0.207180
1805.749900	0.182900
