"Time"	"0 RT t"
162.083700	1.251270
164.901700	-0.100000
168.581500	-0.100000
171.271500	-0.100000
175.537900	-0.100000
181.744500	-0.100000
183.602900	-0.100000
185.563400	-0.100000
189.641500	-0.100000
200.230000	-0.100000
205.698200	-0.100000
210.611800	-0.100000
213.817700	-0.100000
215.877400	-0.100000
221.204700	-0.100000
223.333000	-0.100000
228.167800	-0.100000
231.985700	-0.100000
238.357500	-0.100000
241.260700	-0.100000
539.374500	-0.100000
545.086300	0.414100
549.587900	-0.100000
552.091100	-0.100000
564.522800	0.476320
568.607800	-0.100000
570.940300	0.487160
577.495500	1.040080
582.992300	0.418510
589.304900	0.386380
592.510200	-0.100000
606.503800	0.015980
608.423200	0.622530
612.974500	-0.100000
615.037200	0.660150
618.706200	-0.100000
625.423700	0.601370
633.916300	-0.100000
647.397600	0.524480
650.801400	-0.100000
652.780100	-0.100000
655.964600	0.964550
659.932700	-0.100000
662.411900	0.357500
665.011800	-0.100000
675.253300	-0.100000
684.071000	0.560160
688.983100	0.619990
698.635400	0.436890
703.929300	0.383360
710.718800	0.096350
727.164700	-0.100000
736.817500	1.379460
741.077500	-0.100000
743.842800	0.318560
749.251700	0.393550
763.582500	0.420170
769.714500	0.367870
776.160600	0.329930
780.259200	0.407510
784.774500	0.403000
791.602400	0.449520
797.821800	-0.100000
801.228900	-0.100000
803.293000	-0.100000
815.631500	-0.100000
828.077400	-0.100000
830.740600	0.349630
834.638100	0.619570
842.229900	-0.100000
844.217500	-0.100000
848.376500	0.333790
853.909100	2.147980
860.471400	-0.100000
866.727700	-0.100000
874.207600	-0.100000
882.251800	-0.100000
883.965700	-0.100000
888.607000	-0.100000
890.646800	1.081690
896.138000	-0.100000
900.654200	0.476090
905.304800	0.368800
911.829700	0.261380
916.159200	0.845840
920.587900	-0.100000
924.571500	0.414450
928.840300	0.351530
934.476000	2.122970
936.180500	0.418470
943.813600	0.345900
961.830800	0.406520
975.462300	0.335270
983.610000	0.267180
992.164000	0.356290
1008.478100	-0.100000
1012.914100	-0.100000
1015.365400	0.519230
1021.355800	1.476140
1026.618200	0.287930
1034.138900	0.393040
1038.797900	0.393550
1042.923500	0.388160
1049.936200	0.290220
1072.807600	0.329200
1078.034800	-0.100000
1092.751900	0.544120
1096.917100	-0.100000
1098.719000	-0.100000
1108.002200	-0.100000
1109.794900	-0.100000
1114.170900	-0.100000
1117.958400	1.067110
1131.788200	0.705810
1135.007500	0.253850
1154.454300	0.361150
1164.279700	-0.100000
1169.413200	0.540590
1173.600500	0.485260
1178.941100	0.677900
1188.237300	0.669460
1202.074000	0.330780
1211.658000	-0.100000
1214.047800	0.606760
1222.621500	-0.100000
1231.467600	-0.100000
1234.589200	0.520430
1240.352200	0.755080
1247.610600	0.396700
1262.362400	0.588050
1265.473400	0.564250
1272.919800	0.521830
1276.796100	0.451940
1289.953500	0.419450
1295.315200	0.662850
1300.272700	0.205900
1312.400400	0.599780
1319.546300	0.514800
1328.100900	0.341540
1333.690700	-0.100000
1342.491400	0.465690
1345.909300	0.673940
1357.260200	0.796080
1363.750000	-0.100000
1369.543900	0.547860
1374.889200	0.003750
1384.092900	0.248790
1386.855900	1.514460
1394.070600	0.306890
1403.859200	-0.100000
1406.574500	-0.100000
1416.769000	0.375280
1422.509700	-0.100000
1433.500100	0.670370
1446.111600	0.712340
1450.568600	-0.100000
1457.690600	0.845140
1462.850200	-0.100000
1468.739500	-0.100000
1478.957800	-0.100000
1483.888700	-0.100000
1489.104500	1.617370
1500.948500	-0.100000
1505.006200	-0.100000
1510.289600	-0.100000
1512.356000	0.516920
1515.737400	-0.100000
1520.004600	0.383770
1536.268700	0.502420
1540.805900	0.278020
1556.114400	0.453860
1558.916900	0.664340
