"Time"	"0 RT t"
7.060700	-0.100000
35.187000	-0.100000
85.051900	0.582210
89.944600	-0.100000
94.721800	-0.100000
98.767900	-0.100000
100.989300	0.341780
106.004900	0.351350
112.301400	-0.100000
126.356000	0.052700
130.580300	0.412430
136.850900	0.344870
140.276400	0.229810
154.027000	0.339450
166.317000	0.256910
192.375400	0.291060
205.822300	0.233590
210.928300	0.353150
218.272100	0.319890
225.563900	0.220440
228.999700	0.243850
239.534400	0.232310
244.782000	0.268510
249.760100	0.265920
252.557400	0.232530
257.828500	0.206830
273.702200	0.198550
281.744700	0.277380
298.577900	0.073120
304.127900	-0.100000
308.640900	0.765780
311.563900	-0.100000
332.960200	0.250550
341.404400	0.269900
346.863600	0.215940
360.636500	0.319810
373.827700	0.244150
386.596700	0.215590
407.527500	0.208890
421.377700	0.220010
426.681900	0.253190
432.389200	0.228990
434.979000	0.184000
444.768200	0.244340
460.290400	0.216180
467.714600	0.237560
470.354800	0.217830
491.041400	0.312740
494.398600	0.198320
499.363100	0.196360
508.290400	0.190630
523.509600	0.096020
530.822800	0.267870
533.260600	0.348330
541.145700	0.254260
570.372700	-0.100000
574.368100	-0.100000
580.435100	-0.100000
582.248500	0.535980
587.566500	0.287310
590.283400	1.107710
595.624600	0.525440
604.555700	0.387950
607.125700	0.451580
618.343400	0.456390
624.854300	0.342090
639.821900	0.444330
645.541500	0.535120
652.845800	0.461200
676.559700	0.403350
685.158500	0.370820
708.623300	-0.100000
714.381400	0.070510
716.958000	-0.100000
724.923400	0.365040
732.173000	0.528460
737.121800	0.092240
747.931700	-0.100000
751.141700	0.623630
755.929300	0.268100
758.934100	0.592020
762.207800	-0.100000
765.979400	0.494560
779.113000	0.626670
782.033100	0.649100
790.055500	0.723360
797.536900	0.524750
813.866600	0.397230
817.276900	0.500830
830.233500	0.121820
833.150900	-0.100000
838.232500	0.689820
842.551100	2.035020
854.051000	-0.100000
856.691800	-0.100000
859.552400	-0.100000
871.439300	0.568630
881.060000	-0.100000
883.223800	0.533380
892.270400	0.260560
897.977500	0.727310
907.066900	0.476640
923.660200	-0.100000
940.303500	0.643140
944.304600	0.713920
948.664900	0.555480
953.049400	0.396460
957.009500	0.411710
959.700100	0.384590
962.210200	-0.100000
994.900700	0.406930
1012.956000	0.313130
1021.915400	0.172430
1032.655700	0.416490
1042.599700	-0.100000
1044.488400	-0.100000
1047.588000	0.213000
1053.552400	-0.100000
1055.702700	-0.100000
1063.044100	-0.100000
1068.240900	0.919100
1073.305400	0.262700
1075.840600	0.155500
1083.658500	-0.100000
1086.305400	0.515890
1092.054500	0.388080
1099.330000	0.625520
1104.083500	0.726810
1114.426000	0.571760
1126.921900	0.569320
1131.108500	0.220420
1134.089800	0.015740
1136.769900	0.686430
1141.820200	0.420200
1144.809300	0.469520
1149.784400	0.409500
1153.219600	0.373790
1163.853200	0.420410
1172.397100	-0.100000
1174.765400	0.649550
1178.914400	0.545010
1181.509400	0.496200
1187.893000	0.483400
1195.349500	0.023950
1210.060700	-0.100000
1213.027900	0.422370
1219.571300	0.646660
1227.896300	0.520610
1232.854000	-0.100000
1242.016000	0.449440
1244.453600	-0.100000
1248.722700	0.405270
1251.787900	0.377660
1263.565600	0.517170
1266.614800	0.402980
1272.139000	0.408600
1275.823700	0.425210
1279.752900	0.365320
1286.589200	0.470950
1290.555100	-0.100000
1292.391100	0.467180
1297.737300	0.612620
1311.709800	0.564810
1319.416100	-0.100000
1323.926200	-0.100000
1327.086300	0.799820
1330.226400	1.040240
1333.225400	0.631710
1337.359600	1.068060
1344.254500	-0.100000
1354.580700	-0.100000
1378.495800	0.078800
1390.794200	0.303460
1400.567700	0.432870
1406.393500	0.278280
1413.331300	0.396310
1418.852200	0.319380
1428.110500	0.231690
1436.605900	0.331850
1450.719600	0.153940
1457.302900	0.188510
1477.401400	0.420950
1523.072700	0.673180
1570.688600	-0.100000
1577.022400	0.254470
1593.626800	0.536930
1596.586100	0.386940
1603.153800	0.337230
1611.189200	1.741730
1615.706700	-0.100000
1618.570600	1.495560
1627.783500	-0.100000
1633.052500	-0.100000
1640.894200	-0.100000
1643.573300	-0.100000
1658.469000	0.335740
1673.271600	1.737780
1677.129300	0.411600
1682.598200	-0.100000
1686.618500	0.223790
1691.228300	0.246890
1696.863300	-0.100000
1700.669300	0.149110
1707.070000	-0.100000
1710.149400	-0.100000
1715.157700	0.504380
1733.458800	1.409910
1758.153700	0.275910
1765.277900	-0.100000
1768.123800	-0.100000
1773.327100	-0.100000
1778.046600	0.291810
1783.401400	0.188610
1794.843100	-0.100000
1800.970700	1.900250
1806.045100	0.488470
1813.371900	-0.100000
1816.175500	-0.100000
1827.001200	-0.100000
1831.027900	0.198330
1834.766200	0.361610
1843.171400	0.291400
1852.632800	-0.100000
1859.449400	-0.100000
1869.689700	0.709310
1875.612900	0.299750
1878.438900	0.203680
1883.426600	0.319460
1891.017000	-0.100000
1893.144700	0.299380
1897.283700	0.387820
1900.442800	0.395270
1907.879600	0.004530
1915.646400	-0.100000
1917.803700	0.413790
1946.118000	-0.100000
1950.846300	0.298380
1953.963600	0.224510
1957.444100	0.230470
1962.323700	0.253220
1973.499700	1.734340
1979.015100	-0.100000
1983.653500	0.543030
1990.634900	0.380080
1993.901000	0.275030
2007.000400	0.314620
2013.624200	0.210240
2019.153200	0.166830
2025.205000	0.149500
2032.876800	0.234360
2054.355200	0.258870
2057.011600	0.321090
2065.262600	0.094120
2074.403900	0.243550
2079.959500	0.401040
2085.634700	0.254460
2089.321200	0.215880
2098.725400	0.351350
2102.004400	0.322890
2106.792400	0.367010
2110.847200	2.118700
2112.762400	0.203500
2115.757900	-0.100000
2118.565600	0.284520
2120.944800	0.396250
2130.732000	0.213390
2133.265700	0.398750
2168.949900	-0.100000
2182.261100	-0.100000
2187.501400	-0.100000
2189.311600	-0.100000
2193.824500	-0.100000
2200.814000	-0.100000
2207.320500	-0.100000
2225.654400	1.724270
2232.055600	-0.100000
