"Time"	"0 RT r"
91.691800	0.006730
94.395700	0.065710
97.387800	0.157570
102.333200	0.157190
106.564700	0.157020
112.828800	0.157120
115.818200	0.157490
124.646700	0.157020
128.091800	0.157090
132.716200	0.157200
138.117300	0.012080
493.257800	0.156140
497.800200	0.037190
504.645900	0.042630
514.134300	0.042590
526.780100	0.006670
531.184000	0.155340
535.226900	0.029840
