"Time"	"0 RT r"
55.684900	0.153280
60.380900	0.042070
76.231500	0.066090
89.752000	0.052780
100.157500	0.000140
104.378800	0.005580
108.860200	0.001040
117.207500	0.005110
121.054600	0.000480
124.888800	0.001960
132.598300	0.000420
135.795500	0.148160
141.097300	0.000180
144.275300	0.052620
147.782100	0.015580
157.930800	0.000230
161.469000	0.151790
169.192400	0.004300
172.767300	0.002310
